subscriber_id,actual_churn_90d,predicted_churn_probability,rank,feature,feature_value,shap_value,direction
JIO10047257,0,0.000687859021127224,1,mnp_enquiry_flag,0.0,-0.8971100449562073,reduces churn risk
JIO10047257,0,0.000687859021127224,2,days_since_last_recharge,28.0,-0.6295561194419861,reduces churn risk
JIO10047257,0,0.000687859021127224,3,site_congestion_score,6.5,-0.4972705543041229,reduces churn risk
JIO10047257,0,0.000687859021127224,4,autopay_enabled,1.0,-0.43734875321388245,reduces churn risk
JIO10047257,0,0.000687859021127224,5,outgoing_to_competitor_pct,20.9,-0.3885846436023712,reduces churn risk
JIO10047257,0,0.000687859021127224,6,avg_recharge_gap_days,25.7,-0.3774184286594391,reduces churn risk
JIO10047257,0,0.000687859021127224,7,unresolved_complaints,0.0,-0.3482282757759094,reduces churn risk
JIO10047257,0,0.000687859021127224,8,app_logins_30d,9.0,-0.30602943897247314,reduces churn risk
JIO10047257,0,0.000687859021127224,9,avg_sinr_db,8.7,0.2731894850730896,increases churn risk
JIO10047257,0,0.000687859021127224,10,drop_call_rate_pct,0.32,-0.19780460000038147,reduces churn risk
JIO10047257,0,0.000687859021127224,11,payment_failures_6m,0.0,-0.19237545132637024,reduces churn risk
JIO10047257,0,0.000687859021127224,12,complaints_6m,0.0,-0.1710462123155594,reduces churn risk
JIO10047257,0,0.000687859021127224,13,avg_resolution_days,0.0,-0.13643991947174072,reduces churn risk
JIO10047257,0,0.000687859021127224,14,recharge_count_6m,8.0,-0.10412812232971191,reduces churn risk
JIO10047257,0,0.000687859021127224,15,tenure_months,16.0,0.08996231853961945,increases churn risk
JIO10035277,0,0.682722806930542,1,days_since_last_recharge,191.0,2.0250768661499023,increases churn risk
JIO10035277,0,0.682722806930542,2,avg_recharge_gap_days,400.0,1.0357969999313354,increases churn risk
JIO10035277,0,0.682722806930542,3,mnp_enquiry_flag,0.0,-0.8377575278282166,reduces churn risk
JIO10035277,0,0.682722806930542,4,outgoing_to_competitor_pct,46.3,0.5839106440544128,increases churn risk
JIO10035277,0,0.682722806930542,5,payment_failures_6m,2.0,0.3985631763935089,increases churn risk
JIO10035277,0,0.682722806930542,6,tenure_months,37.0,-0.33943936228752136,reduces churn risk
JIO10035277,0,0.682722806930542,7,site_congestion_score,52.0,0.3190755546092987,increases churn risk
JIO10035277,0,0.682722806930542,8,app_logins_30d,1.0,0.27500131726264954,increases churn risk
JIO10035277,0,0.682722806930542,9,unresolved_complaints,0.0,-0.2608509361743927,reduces churn risk
JIO10035277,0,0.682722806930542,10,arpu_last_month_inr,128.94,0.20794355869293213,increases churn risk
JIO10035277,0,0.682722806930542,11,arpu_6m_avg_inr,107.98,0.190567284822464,increases churn risk
JIO10035277,0,0.682722806930542,12,avg_resolution_days,0.0,-0.1620810180902481,reduces churn risk
JIO10035277,0,0.682722806930542,13,complaints_6m,0.0,-0.13507406413555145,reduces churn risk
JIO10035277,0,0.682722806930542,14,drop_call_rate_pct,0.53,-0.13427579402923584,reduces churn risk
JIO10035277,0,0.682722806930542,15,avg_sinr_db,11.7,0.12934085726737976,increases churn risk
JIO10003705,0,0.00022022912162356079,1,mnp_enquiry_flag,0.0,-0.8072546124458313,reduces churn risk
JIO10003705,0,0.00022022912162356079,2,tenure_months,80.0,-0.7684733867645264,reduces churn risk
JIO10003705,0,0.00022022912162356079,3,outgoing_to_competitor_pct,11.0,-0.666132926940918,reduces churn risk
JIO10003705,0,0.00022022912162356079,4,autopay_enabled,1.0,-0.41110241413116455,reduces churn risk
JIO10003705,0,0.00022022912162356079,5,site_congestion_score,15.2,-0.38681739568710327,reduces churn risk
JIO10003705,0,0.00022022912162356079,6,unresolved_complaints,0.0,-0.3466389775276184,reduces churn risk
JIO10003705,0,0.00022022912162356079,7,avg_recharge_gap_days,61.4,-0.3200313448905945,reduces churn risk
JIO10003705,0,0.00022022912162356079,8,payment_failures_6m,0.0,-0.2291855812072754,reduces churn risk
JIO10003705,0,0.00022022912162356079,9,drop_call_rate_pct,0.05,-0.21923212707042694,reduces churn risk
JIO10003705,0,0.00022022912162356079,10,avg_sinr_db,15.4,-0.19597437977790833,reduces churn risk
JIO10003705,0,0.00022022912162356079,11,app_logins_30d,6.0,-0.18335090577602386,reduces churn risk
JIO10003705,0,0.00022022912162356079,12,family_plan_flag,1.0,-0.18302135169506073,reduces churn risk
JIO10003705,0,0.00022022912162356079,13,arpu_last_month_inr,175.77,-0.17673224210739136,reduces churn risk
JIO10003705,0,0.00022022912162356079,14,complaints_6m,0.0,-0.16433148086071014,reduces churn risk
JIO10003705,0,0.00022022912162356079,15,avg_resolution_days,0.0,-0.14466464519500732,reduces churn risk
JIO10018348,0,0.0010919388150796294,1,mnp_enquiry_flag,0.0,-0.7896221876144409,reduces churn risk
JIO10018348,0,0.0010919388150796294,2,days_since_last_recharge,36.0,-0.5233787298202515,reduces churn risk
JIO10018348,0,0.0010919388150796294,3,site_congestion_score,9.3,-0.4953206777572632,reduces churn risk
JIO10018348,0,0.0010919388150796294,4,tenure_months,52.0,-0.4824211001396179,reduces churn risk
JIO10018348,0,0.0010919388150796294,5,arpu_last_month_inr,392.43,-0.48226627707481384,reduces churn risk
JIO10018348,0,0.0010919388150796294,6,complaints_6m,2.0,0.3937682509422302,increases churn risk
JIO10018348,0,0.0010919388150796294,7,drop_call_rate_pct,1.42,0.3472699820995331,increases churn risk
JIO10018348,0,0.0010919388150796294,8,app_logins_30d,12.0,-0.3370053768157959,reduces churn risk
JIO10018348,0,0.0010919388150796294,9,arpu_3m_avg_inr,405.51,-0.2967240810394287,reduces churn risk
JIO10018348,0,0.0010919388150796294,10,unresolved_complaints,0.0,-0.2766413390636444,reduces churn risk
JIO10018348,0,0.0010919388150796294,11,outgoing_to_competitor_pct,21.5,-0.2683365046977997,reduces churn risk
JIO10018348,0,0.0010919388150796294,12,avg_recharge_gap_days,36.3,-0.26367589831352234,reduces churn risk
JIO10018348,0,0.0010919388150796294,13,avg_sinr_db,15.8,-0.20359916985034943,reduces churn risk
JIO10018348,0,0.0010919388150796294,14,arpu_6m_avg_inr,371.53,-0.1591542363166809,reduces churn risk
JIO10018348,0,0.0010919388150796294,15,payment_failures_6m,1.0,0.12314246594905853,increases churn risk
JIO10054692,0,0.004952737595885992,1,days_since_last_recharge,4.0,-1.1496284008026123,reduces churn risk
JIO10054692,0,0.004952737595885992,2,mnp_enquiry_flag,0.0,-0.9617756605148315,reduces churn risk
JIO10054692,0,0.004952737595885992,3,tenure_months,7.0,0.7430052161216736,increases churn risk
JIO10054692,0,0.004952737595885992,4,unresolved_complaints,1.0,0.7169963121414185,increases churn risk
JIO10054692,0,0.004952737595885992,5,outgoing_to_competitor_pct,19.2,-0.42357274889945984,reduces churn risk
